D_Gender,D_Age,D_Education,D_Position,D_Experience,D_CompanyAge,D_NumEmployees,U_BIM,U_IoT,U_CloudComputing,U_AR,U_VR,U_SmartPhones,U_ProjectSoftware,U_Drones,U_Blockchain,U_3DPrinting,A_StreamlineData,A_AnalyzeTrends,A_RealTimeComm,A_GISMapping,A_BIMPlanning,A_HardwareSoftware,A_ITInfrastructure,A_RegularUpdates,A_WorkflowIntegration,A_DataSecurity,A_RemoteAccess,A_PolicyExistence,A_EmployeeTraining,A_DataPrivacy,A_EncourageAdoption,A_TroubleshootGuidelines,F_ProjectEfficiency,F_QualityEnhancement,F_CostSavings,F_BenefitsOutweighCosts,F_CompatibilitySystems,F_CompatibilityPractices,F_SmoothIntegration,F_CultureSupport,F_LearningChallenge,F_ToolComplexity,F_ImplementationEffort,F_ComplexityHindrance,F_FirmSizeInfluence,F_LargerFirmsResources,F_FirmSizeAffectsSustainability,F_SmallFirmsChallenges,F_ManagementSupport,F_TopLeadershipCommitment,F_AllocateResources,F_Encouragement,F_FinancialResources,F_TechnicalExpertise,F_TrainingTime,F_AcquisitionEase,F_CompetitorPressure,F_IndustryPressure,F_CompetitiveEdge,F_GovtEncouragement,F_RegulatoryIncentives,F_RegulationCompliance,F_RegulatorySupport,P_Time_Completion,P_Time_Milestones,P_Time_DelaysManaged,P_Time_RealisticSchedule,P_Cost_Completion,P_Cost_Accuracy,P_Cost_Control,P_Cost_OverrunManagement,P_Quality_Deliverables,P_Quality_Control,P_Quality_ClientSatisfaction,P_Quality_MinimalDefects,P_Safety_Protocols,P_Safety_Measures,P_Safety_Training,P_Safety_Response,P_Client_QualityScope,P_Client_Communication,P_Client_Schedule,P_Client_Budget,S_Env_WasteReduction,S_Env_EnergyEfficiency,S_Env_EcoMaterials,S_Env_MinimalImpact,S_Social_CommunityEngagement,S_Social_HealthSafety,S_Social_JobCreation,S_Social_SocialEquity,S_Gov_Accountability1,S_Gov_Accountability2,S_Gov_Accountability3,S_Gov_Accountability4,S_Gov_Transparency1,S_Gov_Transparency2,S_Gov_Transparency3,S_Gov_Transparency4,S_Gov_Transparency5,S_Gov_Transparency6,S_Gov_Participation1,S_Gov_Participation2,S_Gov_Participation3,S_Gov_Participation4,S_Gov_Effectiveness1,S_Gov_Effectiveness2,S_Gov_Effectiveness3,S_Gov_Effectiveness4,S_Gov_Effectiveness5,S_Gov_Equality1,S_Gov_Equality2,S_Gov_Equality3,S_Gov_Equality4,B_LackAwareness,B_LimitedUnderstanding,B_ShortageInHouseExperts,B_ScarceLaborMarketExperts,B_HighCost,B_StakeholderReluctance,B_BenefitsNotCommunicated,B_LackResources,B_UnclearResponsibilities,B_RefusalToLearn,B_TimeWastePerception,B_IPPolicyAbsence,B_RegulationLack,B_LeadershipPolicyFailure,B_ProfessionalCooperationLack,B_FirmCooperationLack,B_ProfessionalTrustIssues,B_FirmTrustIssues,B_LackOfStandards,B_CompatibilityIssues,B_ClientUnawareness,B_ClientDisinterest,B_SatisfactionWithOldMethods
1,5,4,2,5,5,3,3,3,4,2,1,4,4,3,3,2,4,4,4,2,3,4,4,3,4,4,4,3,2,4,3,4,4,4,3,4,4,3,3,4,3,2,4,3,3,4,3,3,4,4,3,4,3,2,3,3,4,4,3,2,4,3,3,3,3,3,2,3,4,4,4,4,5,5,5,4,4,3,3,4,4,3,3,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,2,3,3,3,3,3,3,4,3,2,3,3,2,3,2,3,2,3,3,3,2,3,3,3,2,3,3,3,3,3
2,3,2,2,3,4,5,2,3,4,2,1,4,4,3,3,2,4,4,4,2,2,4,4,3,4,4,4,3,2,4,3,3,4,4,3,4,4,3,3,4,3,2,4,3,3,4,3,3,4,4,3,4,3,2,3,3,4,4,3,2,3,3,3,3,3,3,2,3,4,4,4,4,5,5,5,4,4,3,3,4,4,3,3,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,2,3,3,4,3,3,3,4,3,2,4,3,2,3,3,2,3,2,3,2,3,3,3,2,3,3,3,3,3,3
1,3,2,1,2,3,4,2,2,3,1,1,4,3,2,2,1,3,3,3,2,2,3,3,2,3,3,3,2,2,3,2,2,3,3,2,3,3,2,2,3,2,3,3,2,2,3,2,2,3,3,2,3,2,2,2,2,3,3,2,3,2,2,2,3,2,2,2,2,3,3,3,3,4,4,4,3,3,2,2,3,3,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,4,3,3,4,3,3,2,3,3,2,2,3,2,2,3,2,3,2,3,3,3,3,2
1,4,3,2,4,2,5,3,3,4,2,1,4,4,3,3,2,4,4,4,2,3,4,4,3,4,4,4,3,2,4,3,4,4,4,3,4,4,3,3,4,3,2,4,3,3,4,3,3,4,4,3,4,3,2,3,3,4,4,3,2,4,3,3,3,3,3,2,3,4,4,4,4,5,5,5,4,4,3,3,4,4,3,3,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,2,3,3,4,3,3,3,4,3,2,3,3,2,3,2,3,2,3,3,3,2,3,3,3,2,5,3,3,3,3
2,2,1,1,1,5,2,2,2,3,1,1,4,3,2,2,1,3,3,3,2,2,3,3,2,3,3,3,2,2,3,2,2,3,3,2,3,3,2,2,3,2,3,3,2,2,3,2,2,3,3,2,3,2,2,2,2,3,3,2,3,2,2,2,3,2,2,2,2,3,3,3,3,4,4,4,3,3,2,2,3,3,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,4,3,3,4,3,3,2,3,3,2,2,3,2,2,3,2,3,2,3,3,3,3,3
2,3,2,2,3,3,5,2,3,4,2,1,4,4,3,3,2,4,4,4,2,2,4,4,3,4,4,4,3,2,4,3,3,4,4,3,4,4,3,3,4,3,2,4,3,3,4,3,3,4,4,3,4,3,2,3,3,4,4,3,2,3,3,3,3,3,3,2,3,4,4,4,4,5,5,5,4,4,3,3,4,4,3,3,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,2,3,3,4,3,3,3,4,3,2,4,3,2,3,3,2,3,2,3,2,3,3,3,2,3,2,3,3,3,3
1,3,2,1,2,4,4,2,2,3,1,1,4,3,2,2,1,3,3,3,2,2,3,3,2,3,3,3,2,2,3,2,2,3,3,2,3,3,2,2,3,2,3,3,2,2,3,2,2,3,3,2,3,2,2,2,2,3,3,2,3,2,2,2,3,2,2,2,2,3,3,3,3,4,4,4,3,3,2,2,3,3,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,4,3,3,4,3,3,2,3,3,2,2,3,2,2,3,2,3,2,3,3,3,3,3
2,2,1,1,1,2,3,2,2,3,1,1,4,3,2,2,1,3,3,3,2,2,3,3,2,3,3,3,2,2,3,2,2,3,3,2,3,3,2,2,3,2,3,3,2,2,3,2,2,3,3,2,3,2,2,2,2,3,3,2,3,2,2,2,3,2,2,2,2,3,3,3,3,4,4,4,3,3,2,2,3,3,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,4,3,3,4,3,3,2,3,3,2,2,3,2,2,3,2,3,2,3,3,4,4,3
1,5,4,2,5,3,4,3,3,4,2,1,4,4,3,3,2,4,4,4,2,3,4,4,3,4,4,4,3,2,4,3,4,4,4,3,4,4,3,3,4,3,2,4,3,3,4,3,3,4,4,3,4,3,2,3,3,4,4,3,2,4,3,3,3,3,3,2,3,4,4,4,4,5,5,5,4,4,3,3,4,4,3,3,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,2,3,3,3,3,3,3,4,3,2,3,3,2,3,2,3,2,3,3,3,2,3,3,3,3,1,3,3,3,3
1,3,2,1,2,2,5,2,2,3,1,1,4,3,2,2,1,3,3,3,2,2,3,3,2,3,3,3,2,2,3,2,2,3,3,2,3,3,2,2,3,2,3,3,2,2,3,2,2,3,3,2,3,2,2,2,2,3,3,2,3,2,2,2,3,2,2,2,2,3,3,3,3,4,4,4,3,3,2,2,3,3,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,4,3,3,4,3,3,2,3,3,2,2,3,2,2,3,2,3,2,3,3,3,3,3
1,4,3,2,4,4,5,3,3,4,2,1,4,4,3,3,2,4,4,4,2,3,4,4,3,4,4,4,3,2,4,3,4,4,4,3,4,4,3,3,4,3,2,4,3,3,4,3,3,4,4,3,4,3,2,3,3,4,4,3,2,4,3,3,3,3,3,2,3,4,4,4,4,5,5,5,4,4,3,3,4,4,3,3,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,2,3,3,4,3,3,3,4,3,2,3,3,2,3,2,3,2,3,3,3,2,3,3,3,2,3,3,3,3,3
2,2,1,1,1,3,4,2,2,3,1,1,4,3,2,2,1,3,3,3,2,2,3,3,2,3,3,3,2,2,3,2,2,3,3,2,3,3,2,2,3,2,3,3,2,2,3,2,2,3,3,2,3,2,2,2,2,3,3,2,3,2,2,2,3,2,2,2,2,3,3,3,3,4,4,4,3,3,2,2,3,3,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,4,3,3,4,3,3,2,3,3,2,2,3,2,2,3,2,3,3,3,3,3,3,3
1,5,4,2,5,5,5,3,3,4,2,1,4,4,3,3,2,4,4,4,2,3,4,4,3,4,4,4,3,2,4,3,4,4,4,3,4,4,3,3,4,3,2,4,3,3,4,3,3,4,4,3,4,3,2,3,3,4,4,3,2,4,3,3,3,3,3,2,3,4,4,4,4,5,5,5,4,4,3,3,4,4,3,3,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,2,3,3,3,3,3,3,4,3,2,3,3,2,3,2,3,2,3,3,3,2,3,3,3,2,3,3,3,3,3
2,3,2,2,3,2,5,2,3,4,2,1,4,4,3,3,2,4,4,4,2,2,4,4,3,4,4,4,3,2,4,3,3,4,4,3,4,4,3,3,4,3,2,4,3,3,4,3,3,4,4,3,4,3,2,3,3,4,4,3,2,3,3,3,3,3,3,2,3,4,4,4,4,5,5,5,4,4,3,3,4,4,3,3,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,2,3,3,4,3,3,3,4,3,2,4,3,2,3,3,2,3,2,3,2,3,3,3,2,3,3,3,2,3,3
1,3,2,1,2,5,4,2,2,3,1,1,4,3,2,2,1,3,3,3,2,2,3,3,2,3,3,3,2,2,3,2,2,3,3,2,3,3,2,2,3,2,3,3,2,2,3,2,2,3,3,2,3,2,2,2,2,3,3,2,3,2,2,2,3,2,2,2,2,3,3,3,3,4,4,4,3,3,2,2,3,3,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,4,3,3,4,3,3,2,3,3,2,2,3,2,2,3,2,3,2,3,5,3,3,3
2,2,1,1,1,4,3,2,2,3,1,1,4,3,2,2,1,3,3,3,2,2,3,3,2,3,3,3,2,2,3,2,2,3,3,2,3,3,2,2,3,2,3,3,2,2,3,2,2,3,3,2,3,2,2,2,2,3,3,2,3,2,2,2,3,2,2,2,2,3,3,3,3,4,4,4,3,3,2,2,3,3,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,4,3,3,4,3,3,2,3,3,2,2,3,2,2,3,2,3,2,1,3,1,3,2
1,5,4,2,5,2,4,3,3,4,2,1,4,4,3,3,2,4,4,4,2,3,4,4,3,4,4,4,3,2,4,3,4,4,4,3,4,4,3,3,4,3,2,4,3,3,4,3,3,4,4,3,4,3,2,3,3,4,4,3,2,4,3,3,3,3,3,2,3,4,4,4,4,5,5,5,4,4,3,3,4,4,3,3,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,2,3,3,3,3,3,3,4,3,2,3,3,2,3,2,3,2,3,3,3,2,3,3,3,2,3,4,3,3,3
1,3,2,2,3,5,5,2,3,4,2,1,4,4,3,3,2,4,4,4,2,2,4,4,3,4,4,4,3,2,4,3,3,4,4,3,4,4,3,3,4,3,2,4,3,3,4,3,3,4,4,3,4,3,2,3,3,4,4,3,2,3,3,3,3,3,3,3,3,3,2,3,4,4,4,4,5,5,5,4,4,3,3,4,4,3,3,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,2,3,3,4,3,3,3,4,3,2,4,3,2,3,3,2,3,2,3,2,3,5,3,2,5,2
1,4,3,2,4,3,3,3,3,4,2,1,4,4,3,3,2,4,4,4,2,3,4,4,3,4,4,4,3,2,4,3,4,4,4,3,4,4,3,3,4,3,2,4,3,3,4,3,3,4,4,3,4,3,2,3,3,4,4,3,2,4,3,3,3,3,3,2,3,4,4,4,4,5,5,5,4,4,3,3,4,4,3,3,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,2,3,3,4,3,3,3,4,3,2,3,3,2,3,2,3,2,3,3,3,2,3,3,3,2,3,2,3,3,3
2,3,3,2,4,4,5,2,3,4,2,1,4,4,3,3,2,4,4,4,2,2,4,4,3,4,4,4,3,2,4,3,3,4,4,3,4,4,3,3,4,3,2,4,3,3,4,3,3,4,4,3,4,3,2,3,3,4,4,3,2,3,3,3,3,3,3,2,3,4,4,4,4,5,5,5,4,4,3,3,4,4,3,3,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,2,3,3,4,3,3,3,4,3,2,4,3,2,3,3,2,3,2,3,2,3,3,3,2,3,3,4,3,3,3
2,2,1,1,1,5,3,2,2,3,1,1,4,3,2,2,1,3,3,3,2,2,3,3,2,3,3,3,2,2,3,2,2,3,3,2,3,3,2,2,3,2,3,3,2,2,3,2,2,3,3,2,3,2,2,2,2,3,3,2,3,2,2,2,3,2,2,2,2,3,3,3,3,4,4,4,3,3,2,2,3,3,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,4,3,3,4,3,3,2,3,3,2,2,3,2,2,3,2,3,2,3,3,3,3,3
1,4,3,2,4,5,5,3,3,4,2,1,4,4,3,3,2,4,4,4,2,3,4,4,3,4,4,4,3,2,4,3,4,4,4,3,4,4,3,3,4,3,2,4,3,3,4,3,3,4,4,3,4,3,2,3,3,4,4,3,2,4,3,3,3,3,3,2,3,4,4,4,4,5,5,5,4,4,3,3,4,4,3,3,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,2,3,3,4,3,3,3,4,3,2,3,3,2,3,3,2,3,2,3,2,3,3,3,2,3,3,3,5,3,4
2,3,2,1,2,2,3,2,2,3,1,1,4,3,2,2,1,3,3,3,2,2,3,3,2,3,3,3,2,2,3,2,3,3,3,2,3,3,2,2,3,2,3,3,2,2,3,2,2,3,3,2,3,2,2,2,2,3,3,2,3,2,2,2,3,2,2,2,2,3,3,3,3,4,4,4,3,3,2,2,3,3,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,4,3,3,4,3,3,2,3,3,2,2,3,2,2,3,2,3,2,4,4,3,3,3
1,3,2,2,3,3,4,2,3,4,2,1,4,4,3,3,2,4,4,4,2,2,4,4,3,4,4,4,3,2,4,3,3,4,4,3,4,4,3,3,4,3,2,4,3,3,4,3,3,4,4,3,4,3,2,3,3,4,4,3,2,3,3,3,3,3,3,2,3,4,4,4,4,5,5,5,4,4,3,3,4,4,3,3,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,2,3,3,4,3,3,3,4,3,2,4,3,2,3,3,2,3,2,3,2,3,3,3,2,3,3,3,3,3,3
1,2,1,1,1,1,2,2,2,3,1,1,4,3,2,2,1,3,3,3,2,2,3,3,2,3,3,3,2,2,3,2,3,3,3,2,3,3,2,2,3,2,3,3,2,2,3,2,2,3,3,2,3,2,2,2,2,3,3,2,3,2,2,2,3,2,2,2,2,3,3,3,3,4,4,4,3,3,2,2,3,3,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,4,3,3,4,3,3,2,3,3,2,2,3,2,2,3,2,3,2,3,3,5,5,4
2,4,3,2,4,4,5,3,3,4,2,1,4,4,3,3,2,4,4,4,2,3,4,4,3,4,4,4,3,2,4,3,4,4,4,3,4,4,3,3,4,3,2,4,3,3,4,3,3,4,4,3,4,3,2,3,3,4,4,3,2,4,3,3,3,3,3,2,3,4,4,4,4,5,5,5,4,4,3,3,4,4,3,3,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,2,3,3,4,3,3,3,4,3,2,3,3,2,3,3,2,3,2,3,2,3,3,3,2,3,3,3,3,3,3
1,3,2,1,2,3,3,2,2,3,1,1,4,3,2,2,1,3,3,3,2,2,3,3,2,3,3,3,2,2,3,2,3,3,3,2,3,3,2,2,3,2,3,3,2,2,3,2,2,3,3,2,3,2,2,2,2,3,3,2,3,2,2,2,3,2,2,2,2,3,3,3,3,4,4,4,3,3,2,2,3,3,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,4,3,3,4,3,3,2,3,3,2,2,3,2,2,3,2,3,2,2,2,1,4,2
1,5,4,2,5,4,5,3,3,4,2,1,4,4,3,3,2,4,4,4,2,3,4,4,3,4,4,4,3,2,4,3,4,4,4,3,4,4,3,3,4,3,2,4,3,3,4,3,3,4,4,3,4,3,2,3,3,4,4,3,2,4,3,3,3,3,3,2,3,4,4,4,4,5,5,5,4,4,3,3,4,4,3,3,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,2,3,3,3,3,3,3,4,3,2,3,3,2,3,3,2,3,2,3,2,3,3,3,2,3,3,3,3,3,3
2,2,1,1,1,2,2,2,2,3,1,1,4,3,2,2,1,3,3,3,2,2,3,3,2,3,3,3,2,2,3,2,3,3,3,2,3,3,2,2,3,2,3,3,2,2,3,2,2,3,3,2,3,2,2,2,2,3,3,2,3,2,2,2,3,2,2,2,2,3,3,3,3,4,4,4,3,3,2,2,3,3,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,4,3,3,4,3,3,2,3,3,2,2,3,2,2,3,2,3,2,3,2,4,3,4
1,4,3,2,4,3,4,3,3,4,2,1,4,4,3,3,2,4,4,4,2,3,4,4,3,4,4,4,3,2,4,3,4,4,4,3,4,4,3,3,4,3,2,4,3,3,4,3,3,4,4,3,4,3,2,3,3,4,4,3,2,4,3,3,3,3,3,2,3,4,4,4,4,5,5,5,4,4,3,3,4,4,3,3,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,2,3,3,4,3,3,3,4,3,2,3,3,2,3,3,2,3,2,3,2,3,3,3,2,3,3,3,3,2,2
2,3,2,1,2,1,3,2,2,3,1,1,4,3,2,2,1,3,3,3,2,2,3,3,2,3,3,3,2,2,3,2,3,3,3,2,3,3,2,2,3,2,3,3,2,2,3,2,2,3,3,2,3,2,2,2,2,3,3,2,3,2,2,2,3,2,2,2,2,3,3,3,3,4,4,4,3,3,2,2,3,3,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,4,3,3,4,3,3,2,3,3,2,2,3,2,2,3,2,3,2,5,3,4,3,3
1,5,4,2,5,5,5,3,3,4,2,1,4,4,3,3,2,4,4,4,2,3,4,4,3,4,4,4,3,2,4,3,4,4,4,3,4,4,3,3,4,3,2,4,3,3,4,3,3,4,4,3,4,3,2,3,3,4,4,3,2,4,3,3,3,3,3,2,3,4,4,4,4,5,5,5,4,4,3,3,4,4,3,3,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,2,3,3,3,3,3,3,4,3,2,3,3,2,3,3,2,3,2,3,2,3,3,3,2,3,3,2,3,3,4
2,2,1,1,1,4,2,2,2,3,1,1,4,3,2,2,1,3,3,3,2,2,3,3,2,3,3,3,2,2,3,2,3,3,3,2,3,3,2,2,3,2,3,3,2,2,3,2,2,3,3,2,3,2,2,2,2,3,3,2,3,2,2,2,3,2,2,2,2,3,3,3,3,4,4,4,3,3,2,2,3,3,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,4,3,3,4,3,3,2,3,3,2,2,3,2,2,3,2,3,2,4,3,4,3,3
1,4,3,2,3,2,4,2,3,4,2,1,4,4,3,3,2,4,4,4,2,2,4,4,3,4,4,4,3,2,4,3,3,4,4,3,4,4,3,3,4,3,2,4,3,3,4,3,3,4,4,3,4,3,2,3,3,4,4,3,2,3,3,3,3,3,3,2,3,4,4,4,4,5,5,5,4,4,3,3,4,4,3,3,3,3,4,3,3,4,3,3,4,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,2,3,3,4,3,3,3,4,3,2,4,3,2,3,3,2,3,2,3,2,3,3,3,2,3,3,3,3,3,4
2,2,1,1,1,3,2,2,2,3,1,1,4,3,2,2,1,3,3,3,2,2,3,3,2,3,3,3,2,2,3,2,3,3,3,2,3,3,2,2,3,2,3,3,2,2,3,2,2,3,3,2,3,2,2,2,2,3,3,2,3,2,2,2,3,2,2,2,2,3,3,3,3,4,4,4,3,3,2,2,3,3,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,4,3,3,4,3,3,2,3,3,2,2,3,2,2,3,2,3,2,3,5,4,4,3
